City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
97,carutapera,99,BR,1605352239,69,-1.2,-46.02,83.75,8.84
98,kaitangata,100,NZ,1605352239,65,-46.28,169.85,61.0,3.6
99,airai,7,TL,1605352239,89,-8.93,125.41,66.07,1.36
100,plettenberg bay,62,ZA,1605352240,68,-34.05,23.37,66.4,11.25
101,padang,98,ID,1605352240,76,-0.95,100.35,81.75,2.26
102,nelson bay,0,AU,1605352240,88,-32.72,152.15,66.2,1.12
103,pevek,100,RU,1605352240,94,69.7,170.31,-1.34,8.43
104,gaomi,0,CN,1605352240,76,36.38,119.75,57.0,6.71
105,geraldton,75,AU,1605352240,77,-28.77,114.6,64.4,12.75
106,port elizabeth,0,ZA,1605352240,60,-33.92,25.57,71.6,29.97
107,kayankulam,41,IN,1605352240,70,9.18,76.5,83.88,8.68
108,kavieng,3,PG,1605352241,78,-2.57,150.8,83.55,15.21
109,talnakh,0,RU,1605352241,74,69.49,88.4,-22.0,6.71
110,xuddur,69,SO,1605352241,47,4.12,43.89,85.95,11.12
111,carnarvon,2,AU,1605352241,46,-24.87,113.63,73.4,19.46
112,okhotsk,0,RU,1605352241,91,59.38,143.3,9.61,10.96
113,guider,0,CM,1605352241,24,9.93,13.95,91.4,11.41
114,dikson,100,RU,1605352241,97,73.51,80.55,16.93,24.32
115,partanna,15,IT,1605352241,76,37.73,12.89,66.0,5.01
117,goderich,99,CA,1605352241,64,43.75,-81.72,37.4,10.29
118,tautira,0,PF,1605352242,73,-17.73,-149.15,77.0,5.82
119,praia da vitoria,75,PT,1605352242,93,38.73,-27.07,66.2,7.0
120,athabasca,100,CA,1605351982,85,54.72,-113.29,23.0,1.12
121,sinegorye,96,RU,1605352242,80,62.08,150.48,-3.93,0.38
122,soubre,18,CI,1605352242,54,5.79,-6.61,88.65,2.64
124,mount gambier,59,AU,1605352242,87,-37.83,140.77,53.6,8.05
125,egvekinot,2,RU,1605352243,89,66.32,-179.17,4.71,9.28
126,batemans bay,66,AU,1605352243,95,-35.72,150.18,64.99,1.72
128,saldanha,100,ZA,1605352243,49,-33.01,17.94,69.8,9.17
129,nikolskoye,75,RU,1605352243,74,59.7,30.79,35.6,6.71
130,qaanaaq,92,GL,1605352243,86,77.48,-69.36,2.12,7.14
131,maroantsetra,93,MG,1605352243,81,-15.43,49.73,79.11,11.03
132,gat,0,IL,1605352081,46,31.61,34.76,80.01,5.28
133,bilibino,100,RU,1605352243,86,68.05,166.44,-7.71,1.01
134,petropavlovsk-kamchatskiy,90,RU,1605351991,100,53.05,158.65,33.8,4.47
135,yerbogachen,100,RU,1605352243,94,61.28,108.01,10.74,11.52
136,tuktoyaktuk,99,CA,1605352244,91,69.45,-133.04,0.86,20.09
137,riberalta,40,BO,1605352244,94,-10.98,-66.1,75.2,5.82
138,poum,0,NC,1605352244,84,-20.23,164.02,77.72,13.51
139,soyo,75,AO,1605352244,83,-6.13,12.37,82.4,8.05
140,rawson,0,AR,1605352000,35,-43.3,-65.1,59.18,25.75
141,richards bay,0,ZA,1605352244,46,-28.78,32.04,86.97,15.66
142,jatara,0,IN,1605352244,32,25.02,79.05,85.66,3.71
143,lapeer,1,US,1605352244,92,43.05,-83.32,24.8,3.29
144,nome,1,US,1605352244,66,64.5,-165.41,15.8,7.83
145,durant,90,US,1605352244,87,33.99,-96.37,64.99,4.7
146,palora,100,EC,1605352244,96,-1.7,-77.93,65.34,2.77
147,oriximina,84,BR,1605352245,83,-1.77,-55.87,78.53,3.58
148,thinadhoo,100,MV,1605352245,76,0.53,72.93,82.56,16.78
149,oranjemund,84,NA,1605352245,68,-28.55,16.43,65.88,12.01
151,yellowknife,90,CA,1605352134,84,62.46,-114.35,-0.4,6.93
152,igrim,4,RU,1605352245,92,63.19,64.42,7.9,2.01
153,prince george,90,CA,1605352245,92,53.92,-122.75,28.4,6.93
154,hamilton,40,US,1605352092,80,39.18,-84.53,35.01,3.36
155,chuy,3,UY,1605352245,84,-33.7,-53.46,68.31,3.24
156,tucupita,93,VE,1605352246,97,9.06,-62.05,75.31,1.03
158,constitucion,29,CL,1605352246,72,-35.33,-72.42,53.31,6.11
159,korla,93,CN,1605352246,45,41.76,86.15,47.68,5.21
160,atar,27,MR,1605352246,11,20.52,-13.05,91.53,16.64
161,norman wells,20,CA,1605352246,74,65.28,-126.83,-22.0,2.24
162,ribeira grande,40,PT,1605352246,93,38.52,-28.7,66.2,12.75
163,rio rancho,0,US,1605352145,54,35.23,-106.66,44.01,4.0
164,saint-philippe,75,RE,1605352246,88,-21.36,55.77,75.2,5.82
165,zima,22,RU,1605352247,94,53.92,102.04,20.46,3.36
166,hambantota,40,LK,1605352247,74,6.12,81.12,87.8,6.93
167,udachnyy,90,RU,1605352247,84,66.42,112.4,-0.4,4.47
168,caravelas,99,BR,1605352247,69,-17.71,-39.25,80.58,10.36
169,hobyo,51,SO,1605352247,63,5.35,48.53,83.55,14.18
170,chico,40,US,1605352119,93,39.73,-121.84,44.01,3.69
171,patos,0,BR,1605352166,48,-7.02,-37.28,84.92,14.61
173,tarko-sale,35,RU,1605352247,90,64.92,77.78,-11.96,3.94
174,aklavik,32,CA,1605352247,84,68.22,-135.01,-2.2,3.36
175,sao felix do xingu,75,BR,1605352248,77,-6.64,-51.99,79.14,1.48
176,ugoofaaru,100,MV,1605352248,78,5.67,73.0,82.31,8.75
177,ust-tsilma,97,RU,1605352248,93,65.44,52.15,20.71,6.93
178,road town,88,VG,1605352248,88,18.42,-64.62,79.0,8.99
179,tahta,0,EG,1605352248,47,26.77,31.5,77.0,11.41
180,entre rios,12,BR,1605352248,64,-11.94,-38.08,81.7,7.96
181,tasiilaq,75,GL,1605352248,63,65.61,-37.64,26.6,6.93
182,asau,90,RO,1605352248,87,46.43,26.4,53.01,2.24
183,port hedland,0,AU,1605352248,58,-20.32,118.57,82.4,16.11
184,bose,0,IT,1605352248,69,45.46,8.01,57.99,1.01
185,kloulklubed,75,PW,1605352249,88,7.04,134.26,80.6,4.7
187,yinchuan,82,CN,1605352249,51,38.47,106.27,55.04,6.69
188,carrboro,20,US,1605352249,95,35.91,-79.08,44.01,4.65
189,ierapetra,5,GR,1605352249,61,35.01,25.74,66.99,7.0
190,cape town,75,ZA,1605351976,49,-33.93,18.42,69.01,11.41
191,smolenka,32,RU,1605352249,67,52.14,113.5,23.0,4.47
193,mount isa,70,AU,1605352249,51,-20.73,139.5,86.0,11.32
194,iqaluit,90,CA,1605352249,72,63.75,-68.51,15.8,2.37
195,scottsbluff,1,US,1605352249,64,41.87,-103.67,45.0,8.05
196,san patricio,75,US,1605352250,94,28.02,-97.52,75.0,8.05
197,luorong,6,CN,1605352250,46,24.41,109.61,68.49,5.7
198,newport,100,GB,1605352040,98,51.59,-3.0,57.99,5.01
199,bambous virieux,75,MU,1605352250,88,-20.34,57.76,77.0,4.7
200,kiliya,75,UA,1605352250,81,45.46,29.26,48.2,9.17
201,albany,44,US,1605351986,73,42.6,-73.97,42.01,1.99
202,liwale,97,TZ,1605352250,52,-9.77,37.93,86.22,3.74
203,leningradskiy,42,RU,1605352251,87,69.38,178.42,5.34,7.0
204,ponta do sol,75,PT,1605352251,88,32.67,-17.1,71.6,16.11
205,cidreira,11,BR,1605352251,84,-30.18,-50.21,71.58,9.98
206,gizo,47,SB,1605352251,77,-8.1,156.84,83.57,5.73
207,kurilsk,100,RU,1605352251,85,45.23,147.88,39.06,30.24
208,grindavik,40,IS,1605352252,80,63.84,-22.43,33.8,10.29
209,tilichiki,13,RU,1605352252,92,60.47,166.1,6.28,5.06
210,vila velha,75,BR,1605352049,78,-20.33,-40.29,80.01,10.29
211,torbay,90,CA,1605352252,74,47.67,-52.73,37.99,16.11
212,lorengau,95,PG,1605352252,75,-2.02,147.27,83.53,9.6
214,vitim,100,RU,1605352252,94,59.45,112.56,16.68,9.13
215,melfi,20,IT,1605352252,100,41.0,15.65,68.0,3.36
216,alugan,91,PH,1605352252,86,12.22,125.48,82.06,9.93
218,dingle,30,PH,1605352253,89,11.0,122.67,78.71,7.23
219,thompson,90,CA,1605352253,92,55.74,-97.86,17.6,3.36
220,tesanj,90,BA,1605352129,100,44.61,17.99,44.6,2.24
221,broken hill,0,AU,1605352253,18,-31.95,141.43,82.4,4.7
222,yakeshi,3,CN,1605352253,90,49.28,120.73,20.68,2.89
223,tarrega,9,ES,1605352253,76,41.65,1.14,63.0,0.27
224,meulaboh,93,ID,1605352253,80,4.14,96.13,80.94,3.42
225,tema,75,GH,1605352254,70,5.67,-0.02,86.0,4.7
226,lompoc,90,US,1605352051,93,34.64,-120.46,51.8,8.72
227,narasannapeta,0,IN,1605352254,62,18.42,84.05,80.94,13.87
228,ayolas,0,PY,1605352254,54,-27.4,-56.9,77.2,5.99
229,port dickson,20,MY,1605352254,84,2.52,101.8,86.0,3.36
230,mogadishu,75,SO,1605352254,58,2.04,45.34,82.4,3.36
231,coquimbo,4,CL,1605352254,82,-29.95,-71.34,55.4,3.36
232,ucluelet,25,CA,1605352254,90,48.93,-125.55,39.0,16.11
233,sept-iles,100,CA,1605352254,95,50.2,-66.38,33.8,6.93
234,bethel,1,US,1605352255,100,41.37,-73.41,37.99,7.7
235,cordele,1,US,1605352002,93,31.96,-83.78,53.01,5.44
236,bathsheba,75,BB,1605352255,88,13.22,-59.52,78.8,9.17
237,bara,2,NG,1605352255,25,10.37,10.73,89.6,27.51
238,sao jose da coroa grande,74,BR,1605352255,73,-8.9,-35.15,81.61,10.69
239,itoman,40,JP,1605352255,73,26.12,127.67,75.2,10.29
240,mandalgovi,33,MN,1605352255,89,45.76,106.27,27.41,11.92
241,isoka,99,ZM,1605352255,37,-10.16,32.63,87.3,6.04
242,cabo san lucas,13,MX,1605352257,75,22.89,-109.91,69.01,1.99
243,kabinda,90,CD,1605352257,85,-6.13,24.48,75.56,7.7
244,neuquen,0,AR,1605352257,53,-38.95,-68.06,51.8,6.93
245,orlik,13,RU,1605352257,87,52.52,99.83,11.86,1.66
246,port lincoln,0,AU,1605352118,62,-34.73,135.87,66.27,14.38
247,kieta,28,PG,1605352257,76,-6.22,155.63,80.62,4.05
248,mersing,100,MY,1605352257,74,2.43,103.84,86.0,5.82
249,nassau,20,US,1605352258,75,40.75,-73.58,46.0,4.7
250,del rio,90,US,1605352234,83,29.36,-100.9,71.6,8.05
251,itumbiara,30,BR,1605352258,69,-18.42,-49.22,78.6,4.05
252,north battleford,90,CA,1605352258,85,52.78,-108.28,19.4,10.29
253,strezhevoy,40,RU,1605352258,85,60.73,77.59,12.2,6.71
254,funtua,33,NG,1605352049,22,11.52,7.31,87.12,16.62
255,saint anthony,1,US,1605352035,92,45.02,-93.22,33.8,10.29
257,nizhneangarsk,5,RU,1605352258,85,55.78,109.55,14.45,7.85
258,forio,97,IT,1605352258,86,40.73,13.86,68.0,4.0
259,ahlat,63,TR,1605352259,53,38.75,42.48,46.81,3.04
260,bubaque,0,GW,1605352259,55,11.28,-15.83,82.4,8.99
262,baruun-urt,2,MN,1605352259,84,46.68,113.28,32.0,11.63
263,port hardy,90,CA,1605352028,86,50.7,-127.42,44.6,10.29
264,khabary,97,RU,1605352259,86,53.63,79.53,28.49,6.55
266,college,90,US,1605352259,78,64.86,-147.8,17.6,2.24
267,cherskiy,63,RU,1605352259,86,68.75,161.3,-10.34,6.98
268,bardiyah,40,LY,1605352259,59,31.76,25.09,68.83,10.09
270,half moon bay,1,US,1605352259,100,37.46,-122.43,48.0,7.14
271,volchikha,70,RU,1605352260,83,52.03,80.38,27.32,5.21
273,williams lake,5,CA,1605352260,85,52.14,-122.14,21.2,4.7
274,beloha,0,MG,1605352260,39,-25.17,45.05,80.53,17.52
275,privolnaya,100,RU,1605352260,50,46.14,38.7,48.02,10.85
276,khani,0,GE,1605352261,36,41.96,42.96,64.4,18.34
277,sao jose de piranhas,0,BR,1605352261,42,-7.12,-38.5,84.94,6.85
278,abu dhabi,0,AE,1605352261,52,24.47,54.37,87.8,12.75
279,vila franca do campo,40,PT,1605352261,93,37.72,-25.43,66.2,14.99
280,alofi,58,NU,1605352261,94,-19.06,-169.92,75.2,10.29
282,kahului,1,US,1605352261,60,20.89,-156.47,75.2,10.29
283,yumen,0,CN,1605352262,63,40.28,97.2,40.75,15.77
284,yambio,32,SS,1605352262,67,4.57,28.4,83.77,4.09
285,tiksi,88,RU,1605352262,91,71.69,128.87,-8.16,2.59
286,walvis bay,0,NA,1605352262,49,-22.96,14.51,73.4,3.36
288,tongchuan,0,CN,1605352262,54,35.08,109.09,52.63,5.68
289,rozkishne,84,UA,1605352262,58,48.51,39.3,44.83,7.18
290,cabatuan,19,PH,1605352262,86,10.88,122.49,78.28,9.66
291,mao,20,ES,1605352262,88,39.89,4.27,66.2,5.82
292,buckeye,0,US,1605352155,29,33.37,-112.58,50.0,0.38
293,sal rei,0,CV,1605352262,69,16.18,-22.92,80.6,4.7
295,san carlos de bariloche,75,AR,1605352263,72,-41.15,-71.31,42.8,19.46
297,vanavara,57,RU,1605352263,95,60.34,102.28,9.0,6.71
